# r[Mpc/h], xi_u\psi[L^2], xi_\psi\psi[L^2]
3.253253253253253661e+02 -5.804537271589617353e-02 -7.169829261769458499e-03
3.263263263263263525e+02 -5.792847228415163446e-02 -7.187595826148467960e-03
3.273273273273273389e+02 -5.781198734499148895e-02 -7.205326520611894485e-03
3.283283283283283822e+02 -5.769591785329261646e-02 -7.223022528436379673e-03
3.293293293293293686e+02 -5.758026225906924533e-02 -7.240681343275058232e-03
3.303303303303303551e+02 -5.746501497258302282e-02 -7.258305532777917755e-03
3.313313313313313415e+02 -5.735017781172069284e-02 -7.275894689740190074e-03
3.323323323323323848e+02 -5.723574863817615377e-02 -7.293448138686470412e-03
3.333333333333333712e+02 -5.712172859569202010e-02 -7.310967089837729950e-03
3.343343343343343577e+02 -5.700810884503887399e-02 -7.328450942915175868e-03
3.353353353353353441e+02 -5.689489641118419816e-02 -7.345900042559685636e-03
3.363363363363363874e+02 -5.678208206271428971e-02 -7.363313426580585762e-03
3.373373373373373738e+02 -5.666966981989946667e-02 -7.380695483745776560e-03
3.383383383383383602e+02 -5.655765646747329400e-02 -7.398041219673304018e-03
3.393393393393393467e+02 -5.644603820548431405e-02 -7.415352683577175821e-03
3.403403403403403900e+02 -5.633481324612275853e-02 -7.432630022288692559e-03
3.413413413413413764e+02 -5.622398326111018030e-02 -7.449873368565654644e-03
3.423423423423423628e+02 -5.611354507673720765e-02 -7.467082869497245791e-03
3.433433433433433493e+02 -5.600349609166613979e-02 -7.484258479355476029e-03
3.443443443443443925e+02 -5.589383949432308318e-02 -7.501399849017001409e-03
3.453453453453453790e+02 -5.578456549354338795e-02 -7.518508828533998489e-03
3.463463463463463654e+02 -5.567567938678356920e-02 -7.535583880008525463e-03
3.473473473473473518e+02 -5.556717742647164504e-02 -7.552625617382554245e-03
3.483483483483483951e+02 -5.545905634727017058e-02 -7.569634150296297541e-03
3.493493493493493816e+02 -5.535132154041139119e-02 -7.586609639580983895e-03
3.503503503503503680e+02 -5.524396308317196941e-02 -7.603552162818006874e-03
3.513513513513513544e+02 -5.513698048685719555e-02 -7.620462037034065640e-03
3.523523523523523977e+02 -5.503037561265455846e-02 -7.637339044388861443e-03
3.533533533533533841e+02 -5.492414394999106664e-02 -7.654183450342025991e-03
3.543543543543543706e+02 -5.481828499179463438e-02 -7.670995352542858518e-03
3.553553553553554138e+02 -5.471279932626661041e-02 -7.687775463717644135e-03
3.563563563563564003e+02 -5.460768270847900924e-02 -7.704522093968240413e-03
3.573573573573573867e+02 -5.450293417260530793e-02 -7.721237127106626158e-03
3.583583583583583732e+02 -5.439855363831883062e-02 -7.737920198063532283e-03
3.593593593593594164e+02 -5.429453821391127394e-02 -7.754571375241252167e-03
3.603603603603604029e+02 -5.419088402746746747e-02 -7.771190735553421859e-03
3.613613613613613893e+02 -5.408759300263940584e-02 -7.787778353508383565e-03
3.623623623623623757e+02 -5.398466336725714354e-02 -7.804334061599303360e-03
3.633633633633634190e+02 -5.388209055676204673e-02 -7.820858861032405074e-03
